parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
CATHODE_ET_Rc_cat_ct2,MEASURE_ET_Rcat_cn_2,MODERATE,0.0718,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_C300FM1,STRONG,0.108,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,BRGM_ET_lkg_SY8_80,STRONG,0.0705,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RGAN2,MEASURE_ET_lkg_100_at20V,STRONG,0.1136,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,MEASURE_ET_HIRS,STRONG,0.065,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Vp_1,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.1183,5/5,6.5,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_R414,MEASURE_ET_LT_SEC_Vg_Id_min,STRONG,0.0775,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap3,MEASURE_ET_DC_SEC_Vp_1mA,STRONG,0.0708,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_DC_SMALL_Vbgd_0p1,STRONG,0.1341,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,FIC_ET_C100S1,STRONG,0.1182,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbgs_0p1,THIN_ET_DC_RF_Vg_optt2,STRONG,0.0346,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,MEASURE_ET_DC_SMALL_Imax,STRONG,0.091,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vg_max_Vd,MODERATE,0.0469,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,STRONG,0.066,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,THIN_ET_Ran_con_2,STRONG,0.0422,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_lkg_5,MEASURE_ET_DC_RF_Vboff,STRONG,0.0341,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Ids0_QP3,MEASURE_ET_DC_RF2_MAG_26GHz,STRONG,0.0623,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Imax,STRONG,0.0689,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_100,THIN_ET_Ran_con_2,STRONG,0.114,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C100Cap2pf,SIN_GATE_ET_lkg_SY8_80,STRONG,0.1339,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.0906,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_lkg_SY8_80,FIC_ET_R_f_hr_2,MODERATE,0.0103,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Gm_m2,THIN_ET_TF_AB_2,MODERATE,0.0687,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,TOPSIN_ET_CapFICM1,STRONG,0.0674,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_C100CapPARCAP,MODERATE,0.0529,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_cat_ct2,FIC_ET_lkg_SY8_80,STRONG,0.1757,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.1086,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SMALL_Imax,FIC_ET_Rc_f_hr_23,STRONG,0.0532,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_lkg_SY8_80,THIN_ET_HIRS,STRONG,0.0623,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,STRONG,0.0661,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt2,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.0269,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,STRONG,0.0294,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,TOPSIN_ET_DC_PIV_Ids1_QP1,STRONG,0.1128,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100C300pf,FIC_ET_DC_RF_Vg_max_Vd,STRONG,0.1175,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,BRGM_ET_Rsh_F_AB_2,STRONG,0.1179,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_PAD_10,CATHODE_ET_Rcat_cn_1,STRONG,0.1269,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C_AN_2,THIN_ET_DC_RF_Vp_1,STRONG,0.0667,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,MEASURE_ET_DC_SMALL_Imax,MODERATE,0.0668,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vgs_back_0p5V,MEASURE_ET_lkg_Cap_USV,STRONG,0.1143,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vdg_max_0p1,MEASURE_ET_lkg_5,MODERATE,0.0251,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Gm_m2,THIN_ET_C_AN_2,STRONG,0.0426,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY07_10,MEASURE_ET_C100C175pf,STRONG,0.0581,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,TOPSIN_ET_DC_RF_Gm_m0p2,STRONG,0.106,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap2pf,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.1181,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.0644,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_Vp_01_W,TOPSIN_ET_DC_RF_Vds_max,STRONG,0.1521,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0776,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_100,TOPSIN_ET_DC_RF_Vt_gd,MODERATE,0.0097,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_CapPARCAP,TOPSIN_ET_DC_RF_Vds_max,STRONG,0.0981,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,MEASURE_ET_C100,STRONG,0.0894,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vds_max,TOPSIN_ET_Cap2pf_0,STRONG,0.0707,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,THIN_ET_lkg_C200,MODERATE,0.0246,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_100_at20V,MEASURE_ET_C100,STRONG,0.0567,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_RF_Modeling_S22dB_10GHz,MODERATE,0.0332,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,MEASURE_ET_Rc_an_ct2,MODERATE,0.0648,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapFICM1,TOPSIN_ET_Cap3pf_0,MODERATE,0.0703,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,MEASURE_ET_lkg_70,STRONG,0.0956,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,SIN_GATE_ET_Rc_an_ct2,STRONG,0.0639,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.0542,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R_f_hr_3,OHMIC_ET_OHMC,MODERATE,0.013,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,FIC_ET_lkg_SY07_10,STRONG,0.0837,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.0404,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_0p7_mA_mm,THIN_ET_lkg_C200,STRONG,0.1071,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_RF_S11dB_26GHz,STRONG,0.1255,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,SIN_ET_DC_RF_Vbgs_0p01,MODERATE,0.0111,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_R_f_hr_2,STRONG,0.0755,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,TOPSIN_ET_C100Cap3pf,MODERATE,0.0714,4/5,4.5,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vdg_max_0p1mA,MEASURE_ET_lkg_70_at20V,MODERATE,0.0463,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_MAG_26GHz,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.055,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C200_0,THIN_ET_lkg_10,STRONG,0.0614,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbpin,MEASURE_ET_DC_RF_Vbin_gs,STRONG,0.0699,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vt_gd,MEASURE_ET_lkg_10,MODERATE,0.0556,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_R_f_hr_3,CATHODE_ET_Rcat_cn_3_OW_ST,STRONG,0.0401,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_100,THIN_ET_i5021_1,MODERATE,0.0305,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,TOPSIN_ET_DC_RF_n_gs,MODERATE,0.0574,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_10,MODERATE,0.0916,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,SIN_GATE_ET_Rc_OG142_GN,STRONG,0.0616,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,SIN_ET_DC_RF_Vg_optt1,MODERATE,0.0712,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,MEASURE_ET_USV_Cappf_0,STRONG,0.0871,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_100_at20V,SIN_ET_DC_RF_Vg_optt1,MODERATE,0.0852,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_DC_RF_Vbgs_0p1,STRONG,0.0923,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Ids1_QP1,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,STRONG,0.0666,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,STRONG,0.0519,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S21ang_26GHz,THIN_ET_TF_AB_2,STRONG,0.0776,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,FIC_ET_R_f_tn_2,MODERATE,0.0293,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_R_f_hr_3,STRONG,0.0287,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C20_0,MEASURE_ET_lkg_5,STRONG,0.1261,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rcat_cn_2,ANODE_ET_Rc_an_ct2_OW_CR,STRONG,0.0628,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_TF_AB_1,MEASURE_ET_lkg_C385pf,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_DC_SEC_Vgs_0p5V,MODERATE,0.0113,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_lkg_SY8_80,OHMIC_ET_R314,STRONG,0.0575,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgd_0p1,MEASURE_ET_DC_RF_Id_Vbon_min,STRONG,0.0506,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_Rcat_cn_3,STRONG,0.1019,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,OHMIC_ET_OHMC,MODERATE,0.0858,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_CapPARCAP,MEASURE_ET_DC_PIV_Ids0_QP1,MODERATE,0.0647,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Ids0_QP3,THIN_ET_C200_0,MODERATE,0.097,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap3pf,MEASURE_ET_lkg_100,MODERATE,0.0743,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vbgs_0p1,MaskSetSupplyChipsCount,STRONG,0.0987,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_1,MEASURE_ET_lkg_CapPARCAP,STRONG,0.0676,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_lkg_CapPARCAP,STRONG,0.0882,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_Diode_Rs_9p5,MODERATE,0.0721,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vboff,TOPSIN_ET_lkg_C450pf,MODERATE,0.0142,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_S11dB_26GHz,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.0583,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gs,THIN_ET_DC_RF_Vdg_max,MODERATE,0.0225,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap_USV,OHMIC_ET_Rc_OG142,STRONG,0.0954,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_C200_0,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.093,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rsh_cat_c2,THIN_ET_Rc_OG142,STRONG,0.1271,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C100Cap2pf,MEASURE_ET_lkg_10,STRONG,0.1136,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_lkg_5,BRGM_ET_KLV_F_AB_4u,STRONG,0.0429,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_R_f_hr_3,MEASURE_ET_LT_SEC_Vg_Id_min,STRONG,0.0468,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p01,SIN_ET_DC_RF_Ids_m0p2,MODERATE,0.0352,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_C200,STRONG,0.1835,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S21ang_26GHz,THIN_ET_C_AN_2,STRONG,0.0952,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gd,MEASURE_ET_lkg_C385pf,STRONG,0.1075,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_LT_SEC_Vbgd1_Vd3,STRONG,0.0741,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,CATHODE_ET_Rcat_cn_3_OW_ST,MODERATE,0.0428,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_lkg_CapFICM1,MODERATE,0.161,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MEASURE_ET_C100,MODERATE,0.0642,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.1123,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_100,MEASURE_ET_C100,STRONG,0.0922,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Ran_con_1,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0712,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_USV_Cappf_0,MEASURE_ET_lkg_50,STRONG,0.0628,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300FB,THIN_ET_lkg_C200,STRONG,0.1831,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_DC_RF_K_W,STRONG,0.0548,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_K,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0751,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,TOPSIN_ET_Vds_max,STRONG,0.0335,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vg_gm_max,FIN_FIN_Alignment_FIN_to_ohmic_alignment,STRONG,0.052,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Load_Pull_Gss,STRONG,0.1117,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_SY07_10,MODERATE,0.0388,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_lkg_5,MEASURE_ET_lkg_C175pf,STRONG,0.1652,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG144,MEASURE_ET_DC_RF_Vbin_gs,STRONG,0.0427,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_CapFICBRGM,STRONG,0.0569,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbon_min,MEASURE_ET_lkg_C385pf,STRONG,0.036,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_OG142_GN,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0321,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C100Cap1pf,MEASURE_ET_LT_SEC_Id_min_mA_mm,STRONG,0.0388,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapFICM1_0,MEASURE_ET_lkg_CapPARCAP,STRONG,0.122,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_PIV_Gate_Lag_Idss,THIN_ET_lkg_100_at20V,STRONG,0.087,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,TOPSIN_ET_Cap_USV,STRONG,0.0751,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_1_OW_ST,MEASURE_ET_CapFICM1_0,STRONG,0.121,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vg_max_Vd,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.0378,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,STRONG,0.107,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
